,Density,333.33,Jobs/Sq.Mile,TimeDensity,5.555499999999999,,,,,,,,,,,,,,,,,,,,,
,Speed,60,Miles/Hour,HomeZoneJobs,1000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Time,Propensity,CumArea,NetArea,JobSupply,PJS,NormalPJS,,Travel Time,Propensity,JobSupply,NormalPJS,,,,,,,,,,,,,,,
2.5,0.3138782836218656,19.625,19.625,109.0266875,34.2211095414775,5.58537159051259,,2.5,0.3138782836218656,109.0266875,5.58537159051259,,,,,,,,,,,,,,,
7.5,0.21518653981042524,176.625,157,981.2401874999999,211.14968067105787,34.462629750111056,,7.5,0.21518653981042524,981.2401874999999,34.462629750111056,,,,,,,,,,,,,,,
12.5,0.1475261250356792,490.625,314,2725.6671874999997,402.107118308773,65.62959836888263,,12.5,0.1475261250356792,2725.6671874999997,65.62959836888263,,,,,,,,,,,,,,,
17.5,0.10113995785803535,961.625,471,5342.3076875,540.3207743784083,88.1880319899945,,17.5,0.10113995785803535,5342.3076875,88.1880319899945,,,,,,,,,,,,,,,
22.5,0.06933884471683377,1589.625,628,8831.1616875,612.3425489188141,99.94300951136093,,22.5,0.06933884471683377,8831.1616875,99.94300951136093,,,,,,,,,,,,,,,
27.5,0.04753685376667591,2374.625,785,13192.2291875,627.1170697426612,102.35442135564764,,27.5,0.04753685376667591,13192.2291875,102.35442135564764,,,,,,,,,,,,,,,
32.5,0.03258999303006436,3316.625,942,18425.510187499996,600.4872485860047,98.00805595307226,,32.5,0.03258999303006436,18425.510187499996,98.00805595307226,,,,,,,,,,,,,,,
37.5,0.022342825861231035,4415.625,1099,24531.004687499997,548.0919659338547,89.4564009330182,,37.5,0.022342825861231035,24531.004687499997,89.4564009330182,,,,,,,,,,,,,,,
42.5,0.015317642658124497,5671.625,1256,31508.712687499996,482.6392015646385,78.77357926163907,,42.5,0.015317642658124497,31508.712687499996,78.77357926163907,,,,,,,,,,,,,,,
47.5,0.01050136531785456,7084.625,1413,39358.63418749999,413.31939601473726,67.45960149277101,,47.5,0.01050136531785456,39358.63418749999,67.45960149277101,,,,,,,,,,,,,,,
52.5,0.007199454641967807,8654.625,1570,48080.769187499995,346.1553169163295,56.49746892823493,,52.5,0.007199454641967807,48080.769187499995,56.49746892823493,,,,,,,,,,,,,,,
57.5,0.004935753168554774,10381.625,1727,57675.117687499995,284.6701448728476,46.4622147307284,,57.5,0.004935753168554774,57675.117687499995,46.4622147307284,,,,,,,,,,,,,,,
62.5,0.003383820101995915,12265.625,1884,68141.6796875,230.5791855103292,37.633801164511304,,62.5,0.003383820101995915,68141.6796875,37.633801164511304,,,,,,,,,,,,,,,
67.5,0.00231985638091063,14306.625,2041,79480.45518749999,184.38324112440324,30.093966284016943,,67.5,0.00231985638091063,79480.45518749999,30.093966284016943,,,,,,,,,,,,,,,
72.5,0.0015904313662766518,16504.625,2198,91691.44418749999,145.82894885500497,23.801357668483465,,72.5,0.0015904313662766518,91691.44418749999,23.801357668483465,,,,,,,,,,,,,,,
77.5,0.0010903571236783665,18859.625,2355,104774.64668749999,114.24178239659958,18.645883035268156,,77.5,0.0010903571236783665,104774.64668749999,18.645883035268156,,,,,,,,,,,,,,,
82.5,0.0007475196241504185,21371.625,2512,118730.06268749999,88.75305183551562,14.485759840502748,,82.5,0.0007475196241504185,118730.06268749999,14.485759840502748,,,,,,,,,,,,,,,
87.5,0.0005124794219758898,24040.625,2669,133557.69218749998,68.44556889268381,11.171289917596365,,87.5,0.0005124794219758898,133557.69218749998,11.171289917596365,,,,,,,,,,,,,,,
92.5,0.000351342158070079,26866.625,2826,149257.53518749998,52.44046452099699,8.559029343389723,,92.5,0.000351342158070079,149257.53518749998,8.559029343389723,,,,,,,,,,,,,,,
97.5,0.00024087076815963856,29849.625,2983,165829.59168749998,39.943501133367334,6.51934725218395,,97.5,0.00024087076815963856,165829.59168749998,6.51934725218395,,,,,,,,,,,,,,,
102.5,0.00016513454369527152,32989.625,3140,183273.86168749997,30.264845521035614,4.939653057115522,,102.5,0.00016513454369527152,183273.86168749997,4.939653057115522,,,,,,,,,,,,,,,
107.5,0.00011321181781332872,36286.625,3297,201590.34518749997,22.822409432293295,3.724941680095914,,107.5,0.00011321181781332872,201590.34518749997,3.724941680095914,,,,,,,,,,,,,,,
112.5,7.761498839546139e-05,39740.625,3454,220779.0421875,17.135762797343894,2.7968001035747494,,112.5,7.761498839546139e-05,220779.0421875,2.7968001035747494,,,,,,,,,,,,,,,
117.5,5.321075608520426e-05,43351.625,3611,240839.9526875,12.815275978026696,2.0916352313326643,,117.5,5.321075608520426e-05,240839.9526875,2.0916352313326643,,,,,,,,,,,,,,,
122.5,3.647986840805442e-05,47119.625,3768,261773.07668749997,9.549447390331537,1.5586055763155573,,122.5,3.647986840805442e-05,261773.07668749997,1.5586055763155573,,,,,,,,,,,,,,,
127.5,2.5009620177883593e-05,51044.625,3925,283578.41418749996,7.0921884294759305,1.1575459796399894,,127.5,2.5009620177883593e-05,283578.41418749996,1.1575459796399894,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9982009780271048,,51044.625,2554059.1813749997,6126.91724926701,1000.0000000000001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Time,2.5,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5,52.5,57.5,62.5,67.5,72.5,77.7,82.5,87.5,92.5,97.5,102.5,107.5,112.5,117.5,122.5,127.5
Propensity,0.31387828362186554,0.21518653981042524,0.1475261250356792,0.10113995785803535,0.06933884471683377,0.04753685376667591,0.03258999303006436,0.022342825861231035,0.015317642658124497,0.01050136531785456,0.007199454641967808,0.004935753168554774,0.003383820101995915,0.00231985638091063,0.0015904313662766518,0.0010903571236783665,0.0007475196241504185,0.0005124794219758898,0.000351342158070079,0.00024087076815963856,0.00016513454369527152,0.00011321181781332872,7.761498839546139e-05,5.321075608520426e-05,3.647986840805442e-05,2.5009620177883593e-05
JobSupply,109.0266875,981.2401874999999,2725.6671874999997,5342.3076875,8831.1616875,13192.2291875,18425.510187499996,24531.004687499997,31508.712687499996,39358.63418749999,48080.769187499995,57675.117687499995,68141.6796875,79480.45518749999,91691.44418749999,104774.64668749999,118730.06268749999,133557.69218749998,149257.53518749998,165829.59168749998,183273.86168749997,201590.34518749997,220779.0421875,240839.9526875,261773.07668749997,283578.41418749996
NormalPJS,5.58537159051259,34.462629750111056,65.62959836888263,88.1880319899945,99.94300951136093,102.35442135564764,98.00805595307226,89.4564009330182,78.77357926163907,67.45960149277101,56.49746892823493,46.4622147307284,37.633801164511304,30.093966284016943,23.801357668483465,18.645883035268156,14.485759840502748,11.171289917596365,8.559029343389723,6.51934725218395,4.939653057115522,3.724941680095914,2.7968001035747494,2.0916352313326643,1.5586055763155573,1.1575459796399894
